a,w_R,alpha_K,alpha_B_BelliniSawicki,RPH_alpha_B_EFTCAMB
8.432727375363834738e-03,-1.007082686340422528e+00,1.133232064517948008e-06,4.579258711193582472e-07,-2.289629355596791236e-07
8.748192426333165073e-03,-1.007267707698272341e+00,1.266927890370725832e-06,5.123048607087478328e-07,-2.561524303543739164e-07
9.071428586973745087e-03,-1.007454353435885741e+00,1.414453521814203675e-06,5.723513050211374779e-07,-2.861756525105687389e-07
9.402530413432823655e-03,-1.007642572309253248e+00,1.577045484160384980e-06,6.385765940153228500e-07,-3.192882970076614250e-07
9.741592461857647919e-03,-1.007832312229683280e+00,1.756034131974606735e-06,7.115313832577546738e-07,-3.557656916288773369e-07
1.008870928839545808e-02,-1.008023520273879425e+00,1.952849548832513024e-06,7.918081018545578170e-07,-3.959040509272789085e-07
1.044397544919350822e-02,-1.008216142693801887e+00,2.169027744828883741e-06,8.800435895369424241e-07,-4.400217947684712121e-07
1.080748550039903333e-02,-1.008410124926324869e+00,2.406217163400622485e-06,9.769218680156483402e-07,-4.884609340078241701e-07
1.117933399815929096e-02,-1.008605411602695456e+00,2.666185509354519117e-06,1.083177051862467937e-06,-5.415885259312339687e-07
1.155961549862151438e-02,-1.008801946557803753e+00,2.950826910324894497e-06,1.199596404321116967e-06,-5.997982021605584834e-07
1.194842455793295594e-02,-1.008999672839271389e+00,3.262169424227710325e-06,1.327023543596034978e-06,-6.635117717980174889e-07
1.234585573224086449e-02,-1.009198532716366614e+00,3.602382905625489942e-06,1.466361805315682078e-06,-7.331809026578410390e-07
1.275200357769247679e-02,-1.009398467688750856e+00,3.973787244272135452e-06,1.618577767016807865e-06,-8.092888835084039325e-07
1.316696265043504864e-02,-1.009599418495068068e+00,4.378860989468161421e-06,1.784704940647741725e-06,-8.923524703238708624e-07
1.359082750661581677e-02,-1.009801325121380433e+00,4.820250374225029563e-06,1.965847639241920236e-06,-9.829238196209601178e-07
1.402369270238203007e-02,-1.010004126809458169e+00,5.300778753612535726e-06,2.163185024067703117e-06,-1.081592512033851558e-06
1.446565279388093914e-02,-1.010207762064930792e+00,5.823456472045174691e-06,2.377975338716715703e-06,-1.188987669358357851e-06
1.491680233725978071e-02,-1.010412168665307586e+00,6.391491174652317103e-06,2.611560336750542575e-06,-1.305780168375271288e-06
1.537723588866580886e-02,-1.010617283667870403e+00,7.008298578273271482e-06,2.865369909684537011e-06,-1.432684954842268505e-06
1.584704800424626206e-02,-1.010823043417447886e+00,7.677513718020735126e-06,3.140926922247379685e-06,-1.570463461123689842e-06
1.632633324014838919e-02,-1.011029383554078676e+00,8.403002685766557356e-06,3.439852262016160681e-06,-1.719926131008080341e-06
1.681518615251944432e-02,-1.011236239020566252e+00,9.188874877320072200e-06,3.763870110688584710e-06,-1.881935055344292355e-06
1.731370129750665551e-02,-1.011443544069934086e+00,1.003949576549314170e-05,4.114813444416521713e-06,-2.057406722208260856e-06
1.782197323125727512e-02,-1.011651232272789303e+00,1.095950021667673760e-05,4.494629770788484673e-06,-2.247314885394242337e-06
1.834009650991855547e-02,-1.011859236524595085e+00,1.195380636899075753e-05,4.905387110212041688e-06,-2.452693555106020844e-06
1.886816568963773505e-02,-1.012067489052866476e+00,1.302763009051313181e-05,5.349280229611256175e-06,-2.674640114805628088e-06
1.940627532656207313e-02,-1.012275921424286906e+00,1.418650003654470334e-05,5.828637136518123714e-06,-2.914318568259061857e-06
1.995451997683879430e-02,-1.012484464551759888e+00,1.543627332532277930e-05,6.345925841800662680e-06,-3.172962920900331340e-06
2.051299419661515439e-02,-1.012693048701396314e+00,1.678315185206045860e-05,6.903761399434046073e-06,-3.451880699717023036e-06
2.108179254203839878e-02,-1.012901603499446912e+00,1.823369926165652272e-05,7.504913231883602067e-06,-3.752456615941801034e-06
2.166100956925577636e-02,-1.013110057939184738e+00,1.979485860089694410e-05,8.152312749830876052e-06,-4.076156374915438026e-06
2.225073983441453948e-02,-1.013318340387745486e+00,2.147397067144869173e-05,8.849061275134740848e-06,-4.424530637567370424e-06
2.285107789366191272e-02,-1.013526378592930710e+00,2.327879310543231765e-05,9.598438276078993247e-06,-4.799219138039496624e-06
2.346211830314515190e-02,-1.013734099689982182e+00,2.521752018585056700e-05,1.040390992411608632e-05,-5.201954962058043162e-06
2.408395561901150589e-02,-1.013941430208333383e+00,2.729880343464491968e-05,1.126913798147221732e-05,-5.634568990736108661e-06
2.471668439740821663e-02,-1.014148296078343225e+00,2.953177299165017641e-05,1.219798902913283663e-05,-6.098994514566418315e-06
2.536039919448254687e-02,-1.014354622638023562e+00,3.192605980822182341e-05,1.319454404487887773e-05,-6.597272022439438863e-06
2.601519456638171079e-02,-1.014560334639762029e+00,3.449181867981259379e-05,1.426310834119134680e-05,-7.131554170595673402e-06
2.668116506925297463e-02,-1.014765356257052220e+00,3.723975214228674000e-05,1.540822187298763942e-05,-7.704110936493819710e-06
2.735840525924357683e-02,-1.014969611091234736e+00,4.018113525726469190e-05,1.663466992529232400e-05,-8.317334962646162001e-06
2.804700969250078016e-02,-1.015173022178260664e+00,4.332784131230609691e-05,1.794749419108329839e-05,-8.973747095541649194e-06
2.874707292517180227e-02,-1.015375511995479707e+00,4.669236846224427638e-05,1.935200424968472452e-05,-9.676002124842362259e-06
2.945868951340389896e-02,-1.015577002468468049e+00,5.028786733849867878e-05,2.085378945620605009e-05,-1.042689472810302504e-05
3.018195401334432260e-02,-1.015777414977896420e+00,5.412816965369556601e-05,2.245873125264652339e-05,-1.122936562632326170e-05
3.091696098114031510e-02,-1.015976670366453671e+00,5.822781782943392510e-05,2.417301591140019200e-05,-1.208650795570009600e-05
3.166380497293913576e-02,-1.016174688945827631e+00,6.260209567553208022e-05,2.600314772200406090e-05,-1.300157386100203045e-05
